dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,num_epochs,weight_decay
maternal_health_risk,363685,log_loss,0.9868760614508718,1.0138796694995016,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
wine_quality,363708,rmse,0.87905353307724,0.9212198257446289,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
anneal,363614,log_loss,0.4217089266426318,0.5144285888115402,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
QSAR_fish_toxicity,363698,rmse,1.3876515837384167,1.3693409836895416,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
website_phishing,363707,log_loss,0.2973707483351245,0.3202089842699757,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
concrete_compressive_strength,363625,rmse,14.863685834661167,15.417081972540187,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
airfoil_self_noise,363612,rmse,6.503428655211521,6.711940404101787,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1224.4503471117343,1447.0133399446167,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
healthcare_insurance_expenses,363675,rmse,6510.162263305423,7927.910073725948,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
maternal_health_risk,363685,log_loss,0.6585478277131235,0.631098992960294,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
wine_quality,363708,rmse,0.7521935701370239,0.8016828894615173,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
anneal,363614,log_loss,0.17341009334658636,0.15483039982975638,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
