Dataset,tid,model,metric,metric_error,metric_error_val
seismic-bumps,363700,LR (tuned + ensemble),roc_auc,0.2206603465184701,0.2497951236683038
splice,363702,LR (tuned + ensemble),log_loss,0.13375702500343323,0.16530545055866241
students_dropout_and_academic_success,363704,LR (tuned + ensemble),log_loss,0.574958086013794,0.5522789359092712
superconductivity,363705,LR (tuned + ensemble),rmse,17.284169006996574,17.2655515120362
taiwanese_bankruptcy_prediction,363706,LR (tuned + ensemble),roc_auc,0.05975716064757164,0.06611119100970686
website_phishing,363707,LR (tuned + ensemble),log_loss,0.33642998337745667,0.367920458316803
wine_quality,363708,LR (tuned + ensemble),rmse,0.7129082908486525,0.7376484267805171
APSFailure,363616,LR (tuned),roc_auc,0.009296942227477234,0.012648658137850877
Amazon_employee_access,363613,LR (tuned),roc_auc,0.15583175172111796,0.14868185918436994
Another-Dataset-on-used-Fiat-500,363615,LR (tuned),rmse,728.5160420265911,780.6160670419453
Bank_Customer_Churn,363619,LR (tuned),roc_auc,0.23362427853079604,0.22394095166325767
Bioresponse,363620,LR (tuned),roc_auc,0.1799410029498525,0.2047594735647833
Diabetes130US,363630,LR (tuned),roc_auc,0.33255564936543724,0.34811772918420547
E-CommereShippingData,363632,LR (tuned),roc_auc,0.2792958827608456,0.27772738779651196
Fitness_Club,363671,LR (tuned),roc_auc,0.19916439806412578,0.17738951403252434
Food_Delivery_Time,363672,LR (tuned),rmse,8.40535140026559,8.324345783223812
GiveMeSomeCredit,363673,LR (tuned),roc_auc,0.15539145459150283,0.16073789505252822
HR_Analytics_Job_Change_of_Data_Scientists,363679,LR (tuned),roc_auc,0.19522577688190645,0.2064531885882226
Is-this-a-good-customer,363682,LR (tuned),roc_auc,0.28892064059058165,0.25799455946803684
MIC,363711,LR (tuned),log_loss,0.48478934168815613,0.484922856092453
Marketing_Campaign,363684,LR (tuned),roc_auc,0.07605955011615384,0.10446311924013985
NATICUSdroid,363689,LR (tuned),roc_auc,0.018917844317456023,0.01908190945922139
QSAR-TID-11,363697,LR (tuned),rmse,0.9978402874956019,0.9301552920834093
QSAR_fish_toxicity,363698,LR (tuned),rmse,0.97713369662337,0.9419526813678623
SDSS17,363699,LR (tuned),log_loss,0.14696191251277924,0.14755137264728546
airfoil_self_noise,363612,LR (tuned),rmse,4.7521850275766075,4.806881883354186
anneal,363614,LR (tuned),log_loss,0.07239768654108047,0.043680403381586075
bank-marketing,363618,LR (tuned),roc_auc,0.24464760128759677,0.2565739574030804
blood-transfusion-service-center,363621,LR (tuned),roc_auc,0.251140350877193,0.24659901873327383
churn,363623,LR (tuned),roc_auc,0.18038825522036273,0.17837362259106437
coil2000_insurance_policies,363624,LR (tuned),roc_auc,0.2709179637078305,0.2607875260604132
concrete_compressive_strength,363625,LR (tuned),rmse,7.9501029449478455,8.551275671196919
credit-g,363626,LR (tuned),roc_auc,0.23478632478632477,0.20042381974248924
