dataset,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,weight_decay,num_epochs
anneal,log_loss,0.05835632828084338,0.04999572223644067,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
blood-transfusion-service-center,roc_auc,0.2764035087719299,0.2305084745762711,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
QSAR_fish_toxicity,rmse,1.3124215566110666,1.3806731845615061,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
concrete_compressive_strength,rmse,11.768094580661456,13.010371847862375,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
Amazon_employee_access,roc_auc,0.344003501277385,0.4439090469297732,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
airfoil_self_noise,rmse,5.643586264862749,6.028062713271159,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
credit-g,roc_auc,0.21670940170940178,0.23507510729613723,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
diabetes,roc_auc,0.20013386880856754,0.18440927134495055,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
maternal_health_risk,log_loss,0.6567999024474278,0.6690266688697492,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
qsar-biodeg,roc_auc,0.09983049013596856,0.0982896268276714,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
anneal,log_loss,0.059627503831563476,0.050738743948002575,256,32,0.1,0.0001,8,0.001,,1e-05,200.0
blood-transfusion-service-center,roc_auc,0.2750877192982457,0.24508251561106154,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
QSAR_fish_toxicity,rmse,1.2564410627409175,1.291652904403262,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
concrete_compressive_strength,rmse,14.681715197999239,15.393572052891763,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
Amazon_employee_access,roc_auc,0.1879647971866778,0.25661553606851395,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
airfoil_self_noise,rmse,5.8396805148924456,6.10583183895646,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
credit-g,roc_auc,0.2055555555555555,0.24475858369098713,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
diabetes,roc_auc,0.19223560910307902,0.18550259032496808,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
maternal_health_risk,log_loss,0.6482179283101643,0.6362946437123297,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
anneal,log_loss,0.14491829793721991,0.1366229833859269,256,32,0.014207211639577388,1.4936835544198446e-05,32,0.0005451086575834672,32.0,0.00021600820741402046,
blood-transfusion-service-center,roc_auc,0.2863157894736843,0.26126226583407675,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
QSAR_fish_toxicity,rmse,1.2917604402048628,1.405553494176944,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
concrete_compressive_strength,rmse,12.264753582805342,14.18207707394325,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
Amazon_employee_access,roc_auc,0.30975534416824824,0.397377334672814,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
airfoil_self_noise,rmse,4.848193957871741,5.361237658032969,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
credit-g,roc_auc,0.21008547008547007,0.23046137339055783,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
diabetes,roc_auc,0.17771084337349408,0.16827020117069225,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
maternal_health_risk,log_loss,0.6642539063533579,0.6442611732572368,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
anneal,log_loss,0.05666507763076641,0.03631003381136361,128,64,0.0947216090547421,0.00039978040531536154,8,0.0036396393567863887,16.0,0.0001451770489609484,
